"module","size","Heterogeneity","ZScore"
"bisque4",53,0.480236238878723,2.97034867782305
"black",854,0.521464020485142,17.3934682250951
"blue",3111,0.851388540284332,32.2440908994122
"brown",2401,0.734695709914724,14.3338197074166
"brown4",54,0.939415775274882,0.549583511960645
"coral1",33,0.835609602490125,-0.726548302822292
"cyan",238,0.298476420976656,10.2816797805487
"darkgreen",140,0.285865302048892,7.58744940354582
"darkgrey",129,0.349225780718763,5.97297771874741
"darkmagenta",75,0.947545550635282,1.22121440599565
"darkolivegreen",80,0.399387937694689,6.19059296546939
"darkorange",115,0.403378040809087,17.6981949420513
"darkorange2",56,0.350857451038125,2.11344253646815
"darkred",140,0.326080231286008,15.2546753196843
"darkseagreen4",33,0.867945999237717,1.750051595329
"darkslateblue",51,0.868479043075855,0.797161939482729
"darkturquoise",130,0.370465746662695,8.22853189557604
"floralwhite",57,0.443767906059914,4.62675773381953
"green",1111,0.3747026722284,35.5169760711837
"greenyellow",408,0.509222633718663,8.83802394829697
"grey60",171,0.367600434120608,13.0147674698207
"honeydew1",38,0.609478112894816,0.170321518981452
"ivory",57,0.635935791756198,4.88586552033464
"lavenderblush3",38,0.813031163452219,-1.10684755660389
"lightcyan",176,0.324345109272106,6.55279430739115
"lightcyan1",66,0.420184575459842,3.94850100418313
"lightgreen",163,0.535539486987861,18.2867871600753
"lightpink4",39,0.292933633043912,3.32423585574552
"lightsteelblue1",66,0.579143580995011,-0.724526612422445
"lightyellow",158,0.459861766317764,3.99121466675384
"magenta",571,0.585580297273963,18.7954968708948
"maroon",41,0.372033359915855,6.17662675156747
"mediumpurple3",66,0.765087373858322,-0.500445677340119
"midnightblue",201,0.259325021758784,15.5516971424266
"navajowhite2",41,0.789094797881074,-0.121181828956067
"orange",124,0.379276952533061,7.52314446456857
"orangered4",70,0.407697565793562,8.77163383852058
"paleturquoise",95,0.333989788681126,6.56422939725595
"palevioletred3",42,0.308769155614583,3.61721163751532
"pink",668,0.930772398338001,1.53349540209417
"plum1",70,0.928728572978238,0.099346144371517
"plum2",51,0.425896082932269,23.6017294829401
"purple",520,0.90715992053541,140.512477304845
"red",1002,0.539764934513799,-0.571486729955378
"royalblue",141,0.31168193396386,3.9033368330684
"saddlebrown",109,0.446704371274549,4.38847752607087
"salmon",322,0.447747845273788,44.8148309902278
"salmon4",42,0.663166399440559,-0.455560075579031
"sienna3",73,0.870555866279674,-0.130854826548999
"skyblue",112,0.321997317783256,11.3082040549855
"skyblue3",73,0.337291692902837,4.70987297938215
"steelblue",100,0.307475996887368,4.62183414988107
"tan",328,0.416823474133355,11.660965075516
"thistle1",46,0.877162565258007,0.163493192018008
"thistle2",51,0.313621044252198,9.95442991671182
"turquoise",3479,0.929307195495925,21.1537647724111
"violet",94,0.397831108436687,18.4991376856192
"white",112,0.331584019355042,12.6900562392678
"yellow",1273,0.490830054773921,45.6032432078926
"yellowgreen",73,0.446297568499321,3.62363572553848
